,five_stars,four_stars,three_stars,two_stars,one_star,zero_star
25,[],['parks'],"['theatres', 'museums', 'malls', 'zoo']","['restaurants', 'pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']","['resorts', 'beaches', 'dance-clubs', 'swimming-pools', 'beauty-spas']","['churches', 'gyms', 'bakeries', 'cafes', 'view-points', 'monuments', 'gardens']"
26,[],['parks'],"['theatres', 'museums', 'malls', 'zoo']","['restaurants', 'pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']","['resorts', 'beaches', 'dance-clubs', 'swimming-pools']","['churches', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']"
27,[],['parks'],"['theatres', 'museums', 'malls', 'zoo']","['restaurants', 'pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']","['resorts', 'beaches', 'dance-clubs', 'swimming-pools', 'beauty-spas']","['churches', 'gyms', 'bakeries', 'cafes', 'view-points', 'monuments', 'gardens']"
28,['beaches'],['parks'],"['theatres', 'museums', 'malls', 'zoo']","['restaurants', 'pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']","['resorts', 'dance-clubs', 'swimming-pools']","['churches', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']"
29,[],['parks'],"['theatres', 'museums', 'malls', 'zoo']","['restaurants', 'pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']","['resorts', 'beaches', 'dance-clubs', 'swimming-pools', 'beauty-spas']","['churches', 'gyms', 'bakeries', 'cafes', 'view-points', 'monuments', 'gardens']"
30,[],['parks'],"['theatres', 'museums', 'malls', 'zoo']","['restaurants', 'pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']","['resorts', 'beaches', 'dance-clubs', 'swimming-pools']","['churches', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']"
31,[],['parks'],"['theatres', 'museums', 'malls', 'zoo']","['restaurants', 'pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']","['resorts', 'beaches', 'dance-clubs', 'swimming-pools']","['churches', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']"
32,[],['parks'],"['theatres', 'museums', 'malls', 'zoo']","['restaurants', 'pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']","['resorts', 'beaches', 'dance-clubs', 'swimming-pools']","['churches', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']"
33,[],['parks'],"['theatres', 'museums', 'malls', 'zoo']","['restaurants', 'pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']","['resorts', 'beaches', 'dance-clubs', 'swimming-pools', 'beauty-spas']","['churches', 'gyms', 'bakeries', 'cafes', 'view-points', 'monuments', 'gardens']"
34,[],['parks'],"['theatres', 'museums', 'malls', 'zoo']","['restaurants', 'pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']","['resorts', 'beaches', 'dance-clubs', 'swimming-pools', 'beauty-spas']","['churches', 'gyms', 'bakeries', 'cafes', 'view-points', 'monuments', 'gardens']"
35,[],['parks'],"['theatres', 'museums', 'malls', 'zoo']","['restaurants', 'pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']","['resorts', 'beaches', 'dance-clubs', 'swimming-pools']","['churches', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']"
36,[],['parks'],"['theatres', 'museums', 'malls', 'zoo']","['restaurants', 'pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']","['resorts', 'beaches', 'dance-clubs', 'swimming-pools', 'beauty-spas']","['churches', 'gyms', 'bakeries', 'cafes', 'view-points', 'monuments', 'gardens']"
37,['beaches'],"['parks', 'zoo']","['theatres', 'museums', 'malls', 'restaurants']","['pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']","['resorts', 'dance-clubs', 'swimming-pools', 'gardens']","['churches', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments']"
38,"['beaches', 'theatres']",['parks'],"['museums', 'malls', 'zoo', 'restaurants']","['pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']","['churches', 'resorts', 'dance-clubs', 'swimming-pools', 'gardens']","['gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments']"
39,['beaches'],['parks'],"['theatres', 'museums', 'malls', 'zoo']","['restaurants', 'pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']","['churches', 'resorts', 'dance-clubs', 'swimming-pools', 'gardens']","['gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments']"
40,"['beaches', 'theatres']",['parks'],"['museums', 'malls', 'zoo']","['restaurants', 'pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars']","['churches', 'resorts', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gardens']","['gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments']"
41,['theatres'],['parks'],"['museums', 'malls', 'zoo']","['restaurants', 'pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']","['churches', 'resorts', 'beaches', 'dance-clubs', 'swimming-pools', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points']"
42,"['beaches', 'theatres']",['parks'],"['museums', 'malls', 'zoo']","['restaurants', 'pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']","['churches', 'resorts', 'dance-clubs', 'swimming-pools', 'cafes', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas', 'view-points']"
43,"['beaches', 'theatres']",['parks'],"['museums', 'malls', 'zoo']","['restaurants', 'pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']","['churches', 'resorts', 'dance-clubs', 'swimming-pools', 'cafes', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas']"
44,['beaches'],"['parks', 'theatres']","['museums', 'malls']","['zoo', 'restaurants', 'pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']","['churches', 'resorts', 'dance-clubs', 'swimming-pools', 'cafes', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas']"
45,['beaches'],"['parks', 'theatres']","['museums', 'malls', 'zoo']","['restaurants', 'pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars']","['churches', 'resorts', 'art-galleries', 'dance-clubs', 'swimming-pools', 'cafes', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas']"
46,['beaches'],"['parks', 'theatres']","['museums', 'malls', 'zoo', 'restaurants']","['pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars']","['churches', 'resorts', 'art-galleries', 'dance-clubs', 'swimming-pools', 'cafes', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas']"
47,['beaches'],['theatres'],"['parks', 'museums', 'malls', 'zoo', 'restaurants']","['pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars']","['churches', 'resorts', 'art-galleries', 'dance-clubs', 'swimming-pools', 'cafes', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas']"
48,['beaches'],['theatres'],"['parks', 'museums', 'malls', 'zoo', 'restaurants']","['pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars']","['churches', 'resorts', 'art-galleries', 'dance-clubs', 'swimming-pools', 'cafes', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas']"
49,"['beaches', 'museums']",['theatres'],"['parks', 'malls', 'zoo', 'restaurants']","['pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars']","['churches', 'resorts', 'art-galleries', 'dance-clubs', 'swimming-pools', 'cafes', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas']"
50,"['beaches', 'museums']",['theatres'],"['parks', 'malls', 'zoo', 'restaurants']","['pubs-bars', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'dance-clubs']","['churches', 'resorts', 'art-galleries', 'swimming-pools', 'cafes', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas']"
51,"['beaches', 'museums']","['parks', 'theatres']","['malls', 'zoo', 'restaurants']","['pubs-bars', 'dance-clubs']","['churches', 'resorts', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'swimming-pools', 'cafes', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas']"
52,"['beaches', 'museums', 'cafes']","['parks', 'theatres', 'zoo']","['malls', 'restaurants']","['pubs-bars', 'art-galleries', 'dance-clubs']","['churches', 'resorts', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'swimming-pools', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas']"
53,"['beaches', 'museums', 'zoo']","['parks', 'theatres']",['malls'],"['restaurants', 'pubs-bars']","['churches', 'resorts', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas', 'cafes']"
54,"['beaches', 'zoo']","['parks', 'theatres']","['museums', 'malls']","['restaurants', 'pubs-bars', 'art-galleries']","['churches', 'resorts', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'dance-clubs', 'swimming-pools', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas', 'cafes']"
55,"['beaches', 'parks', 'museums', 'zoo']",['theatres'],"['malls', 'restaurants']","['pubs-bars', 'art-galleries', 'dance-clubs']","['churches', 'resorts', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'swimming-pools', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas', 'cafes']"
56,"['beaches', 'parks', 'zoo']",['theatres'],"['museums', 'malls', 'restaurants']","['pubs-bars', 'art-galleries', 'dance-clubs']","['churches', 'resorts', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'swimming-pools', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas', 'cafes']"
57,"['parks', 'zoo']",['theatres'],"['museums', 'malls', 'restaurants']","['pubs-bars', 'art-galleries', 'dance-clubs']","['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'swimming-pools', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas', 'cafes']"
58,"['beaches', 'parks', 'museums', 'zoo']",['theatres'],"['malls', 'restaurants']","['pubs-bars', 'dance-clubs']","['churches', 'resorts', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'swimming-pools', 'cafes', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas']"
59,"['parks', 'museums', 'view-points']",['theatres'],"['beaches', 'malls', 'zoo', 'restaurants']","['pubs-bars', 'dance-clubs']","['churches', 'resorts', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'swimming-pools', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas', 'cafes']"
60,"['beaches', 'parks', 'museums', 'view-points']",['theatres'],"['malls', 'zoo', 'restaurants']","['pubs-bars', 'dance-clubs']","['churches', 'resorts', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'swimming-pools', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas', 'cafes']"
61,"['beaches', 'parks', 'museums', 'malls', 'cafes']",['theatres'],"['zoo', 'restaurants']","['pubs-bars', 'dance-clubs']","['churches', 'resorts', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'swimming-pools', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas']"
62,"['parks', 'museums']",['theatres'],"['malls', 'zoo', 'restaurants']",['pubs-bars'],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'cafes', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas']"
63,"['beaches', 'parks', 'museums']",['theatres'],"['malls', 'zoo', 'restaurants']",['pubs-bars'],"['churches', 'resorts', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'cafes', 'view-points', 'monuments', 'gardens']","['gyms', 'bakeries', 'beauty-spas']"
64,"['beaches', 'parks', 'museums']",['theatres'],"['malls', 'zoo', 'restaurants']",['pubs-bars'],"['churches', 'resorts', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'cafes', 'view-points', 'monuments', 'gardens']","['bakeries', 'beauty-spas']"
65,"['parks', 'museums']",['theatres'],"['malls', 'zoo', 'restaurants']",['pubs-bars'],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'cafes', 'view-points', 'monuments', 'gardens']","['bakeries', 'beauty-spas']"
66,"['beaches', 'parks', 'museums']",['theatres'],"['malls', 'zoo', 'restaurants']",['pubs-bars'],"['churches', 'resorts', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'cafes', 'view-points', 'monuments', 'gardens']","['bakeries', 'beauty-spas']"
67,"['parks', 'museums']",['theatres'],"['malls', 'zoo', 'restaurants']",['pubs-bars'],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'cafes', 'view-points', 'monuments', 'gardens']","['bakeries', 'beauty-spas']"
68,['museums'],['theatres'],"['malls', 'zoo', 'restaurants']",['pubs-bars'],"['churches', 'resorts', 'beaches', 'parks', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'cafes', 'view-points', 'monuments', 'gardens']","['bakeries', 'beauty-spas']"
69,['museums'],['theatres'],"['malls', 'zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'parks', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'cafes', 'view-points', 'monuments', 'gardens']",['beauty-spas']
70,"['parks', 'museums']",['theatres'],"['malls', 'zoo', 'restaurants']",['pubs-bars'],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'cafes', 'view-points', 'monuments', 'gardens']",['beauty-spas']
71,"['museums', 'malls']",['theatres'],"['zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'parks', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
72,['malls'],['theatres'],"['museums', 'zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'parks', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
73,"['museums', 'view-points']",['theatres'],"['malls', 'zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'parks', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'monuments', 'gardens']",[]
74,"['parks', 'museums', 'malls', 'view-points']",['theatres'],"['zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'monuments', 'gardens']",[]
75,"['parks', 'museums', 'view-points']",['theatres'],"['malls', 'zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'monuments', 'gardens']",[]
76,"['parks', 'museums', 'view-points']",['theatres'],"['malls', 'zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'monuments', 'gardens']",[]
77,"['parks', 'museums']",['theatres'],"['malls', 'zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']",[]
78,"['parks', 'museums', 'view-points']",['theatres'],"['malls', 'zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'monuments', 'gardens']",[]
79,"['parks', 'museums', 'view-points']",['theatres'],"['malls', 'zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'monuments', 'gardens']",[]
80,"['parks', 'museums', 'view-points']",['theatres'],"['malls', 'zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'monuments', 'gardens']",[]
81,"['parks', 'museums', 'view-points']",['theatres'],"['malls', 'zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'monuments', 'gardens']",[]
82,"['parks', 'museums', 'view-points']",['theatres'],"['malls', 'zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'monuments', 'gardens']",[]
83,"['parks', 'museums', 'view-points']",['theatres'],"['malls', 'zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'monuments', 'gardens']",[]
84,"['parks', 'museums', 'view-points']",['theatres'],"['malls', 'zoo', 'restaurants', 'pubs-bars']",[],"['churches', 'resorts', 'beaches', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries', 'dance-clubs', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'monuments', 'gardens']",[]
